LocomotionID,PrimateID,LMTypeCd,Checked,PctOfTime,CitationID,Comment,OrigIDPhysical,AuthorAddStamp,AuthorEditStamp,AuthorReviewStamp,AuthorIsDupeStamp,AdminReviewStamp
257,96,CLIM,-1,,1995,,98,,,,,
258,96,LEAP,-1,,1995,,98,,,,,
259,96,QUAD,-1,,1995,,98,,,,,
260,96,SUSP,-1,,1995,,98,,,,,
261,96,VERT,-1,,1995,,98,,,,,
262,97,CLIM,-1,,2002,,44,,,,,
263,97,LEAP,-1,,2002,,44,,,,,
264,97,QUAD,-1,,2002,,44,,,,,
265,97,SUSP,-1,,2002,,44,,,,,
266,97,VERT,-1,,2002,,44,,,,,
267,98,VERT,-1,,,,640,,,5/29/2009,,
268,99,VERT,-1,,,,632,,,5/29/2009,,
269,100,VERT,-1,,,,644,,,5/29/2009,,
270,101,VERT,-1,,,,636,,,5/29/2009,,
271,102,CLIM,-1,,,,5609,,,,,
272,102,LEAP,-1,,,,5609,,,,,
273,102,QUAD,-1,,,,5609,,,,,
274,103,BIPE,-1,,2160,,3031,,,6/3/2009,,
275,103,CLIM,-1,,2160,,3031,,,6/3/2009,,
276,103,LEAP,-1,,2160,,3031,,,6/3/2009,,
277,103,QUAD,-1,,2160,,3031,,,6/3/2009,,
278,103,VERT,-1,,2160,,3031,,,6/3/2009,,
279,103,BIPE,-1,,2167,,3032,,,6/3/2009,,
280,103,CLIM,-1,,2167,,3032,,,6/3/2009,,
281,103,LEAP,-1,,2167,,3032,,,6/3/2009,,
282,103,QUAD,-1,,2167,,3032,,,6/3/2009,,
283,103,VERT,-1,,2167,,3032,,,6/3/2009,,
284,106,QUAD,-1,,2196,,3565,,,6/13/2009,,
285,106,VERT,-1,,2196,,3565,,,6/13/2009,,
286,107,CLIM,-1,,2202,,587,,,,,
287,107,LEAP,-1,,2202,,587,,,,,
288,107,QUAD,-1,,,,587,,,,,
289,107,VERT,-1,,2202,,587,,,,,
290,108,LEAP,-1,,23194,,1780,,6/14/2010,1/12/2011,,
291,108,QUAD,-1,,23194,,1780,,6/14/2010,1/12/2011,,
292,108,VERT,-1,,23194,,1780,,6/14/2010,1/12/2011,,
293,109,LEAP,-1,,2315,,1836,,6/6/2009,8/30/2012,,
294,109,QUAD,-1,,2315,,1836,,6/6/2009,6/6/2009,,
295,110,CLIM,-1,,2342,,264,,,1/4/2011,,
296,110,LEAP,-1,,2342,,264,,,1/4/2011,,
297,110,QUAD,-1,,2342,,264,,,1/4/2011,,
298,110,VERT,-1,,2342,,264,,,1/4/2011,,
299,112,QUAD,0,,,,279,,,,,
300,113,LEAP,-1,,2432,,1776,,,1/11/2011,,
301,113,QUAD,-1,,2432,,1776,,,1/11/2011,,
302,113,VERT,-1,,2432,,1776,,,1/11/2011,,
305,114,QUAD,-1,,2507,,1334,,,,,
306,114,VERT,-1,,2507,,1334,,,,,
307,115,BIPE,-1,2,2531,hopping on ground to cross gaps of 2 meters,672,,,,,
308,115,QUAD,-1,,2531,,672,,,,,
309,115,VERT,-1,,2531,most,672,,,,,
310,115,BIPE,0,2,2525,hopping on ground to cross gaps of 2 meters,673,,,,,
311,115,QUAD,0,,2525,,673,,,,,
312,115,VERT,0,,2525,,673,,,,,
313,115,QUAD,0,,2533,,674,,,,,
314,115,VERT,0,,2533,,674,,,,,
315,118,CLIM,-1,,2541,,60,,,,,
316,118,LEAP,-1,,2541,,60,,,,,
317,118,QUAD,-1,,2541,,60,,,,,
318,118,SUSP,-1,,2541,,60,,,,,
319,119,CLIM,-1,,2560,,1205,,,,,
320,119,LEAP,-1,,2560,,1205,,,,,
321,119,QUAD,-1,,2560,,1205,,,,,
322,119,SUSP,-1,,2560,,1205,,,,,
323,125,CLIM,-1,29,2583,,5654,,,4/24/2009,,
