MonkeyNumberGroves,NumberIn96Edition,ReferenceFullSpecies,SuppressTaxa,SpeciesInNewGroves,sp_nov,ONly in IUCN,Superfamily,Suborder,Ifraorder,Family,Subfamily,Tribe,Genus,Subgenus,Species-group,Species,Subspecies,Describer,YearDescribed,LatinName
1054,,1057,0,0,0,1,Cercopithecoidea,Anthropoidea/Haplorrhini,Catarrhini,Cercopithecidae,Colobinae,,Semnopithecus,,,vetulus,vetulus,Erxleben,1777,Semnopithecus vetulus vetulus
1056,,0,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Aotidae,,,Aotus,,Grey-neck,jorgehernandezi,,Defler and Bueno,2007,Aotus jorgehernandezi
1057,,0,0,1,0,1,Cercopithecoidea,Anthropoidea/Haplorrhini,Catarrhini,Cercopithecidae,Colobinae,,Semnopithecus,,,vetulus,,Erxleben,1777,Semnopithecus vetulus 
1058,,1057,0,0,0,1,Cercopithecoidea,Anthropoidea/Haplorrhini,Catarrhini,Cercopithecidae,Colobinae,,Semnopithecus,,,vetulus,nestor,Bennett,1833,Semnopithecus vetulus nestor
1059,,1057,0,0,0,1,Cercopithecoidea,Anthropoidea/Haplorrhini,Catarrhini,Cercopithecidae,Colobinae,,Semnopithecus,,,vetulus,monticola,Kelaart,1850,Semnopithecus vetulus monticola
1060,,1057,0,0,0,1,Cercopithecoidea,Anthropoidea/Haplorrhini,Catarrhini,Cercopithecidae,Colobinae,,Semnopithecus,,,vetulus,philbricki,Phillips,1927,Semnopithecus vetulus philbricki
1061,,845,0,0,0,0,Cercopithecoidea,Anthropoidea/Haplorrhini,Catarrhini,Cercopithecidae,Colobinae,,Trachypithecus,,,vetulus,harti,Deraniyagala,1955,Trachypithecus vetulus harti
1062,,1102,0,0,0,0,Cercopithecoidea,Anthropoidea/Haplorrhini,Catarrhini,Cercopithecidae,Colobinae,,Presbytis,,,femoralis,bicolor,Aimi and Bakar,1922,Presbytis femoralis bicolor
1063,,0,0,1,0,1,Hominoidea,Anthropoidea/Haplorrhini,Catarrhini,Hominidae,Homininae,,Gorilla,,,beringei,,Matschie,1903,Gorilla beringei 
1064,,0,0,1,0,0,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Indriidae,,,Propithecus,,,holomelas,,Günther,1875,Propithecus holomelas
1065,,0,0,1,0,0,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Cheirogaleidae,Cheirogaleinae,,Microcebus,,,lokobensis,,Olivieri et al,2006,Microcebus lokobensis 
1067,,1105,0,0,0,1,Cercopithecoidea,Anthropoidea/Haplorrhini,Catarrhini,Cercopithecidae,Colobinae,,Trachypithecus,,,phayrei,phayrei,Blyth,1847,Trachypithecus phayrei phayrei
1068,,0,0,0,1,0,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Aotidae,,,Aotus,,,sp. nov. # 1,,not yet described FC,,Aotus sp. nov. # 1
1069,,0,1,1,1,0,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Pitheciidae,Callicebinae,,Callicebus,,,sp. nov. #3,,not yet described,,Callicebus sp. nov. #3
1070,,0,0,1,0,1,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Cheirogaleidae,,,Microcebus,,,macarthurii,,"UTE RADESPIEL, GILLIAN OLIVIERI1, DAVID W. RASOLOFOSON, GILBERT RAKOTONDRATSIMBA2,
ODON RAKOTONIRAINY, SOLOFONIRINA RASOLOHARIJAONA et al",2008,Microcebus macarthurii 
1071,,0,0,1,1,0,Cheirogaleoidea,Prosimii/Strepsirhini,Lemuriformes,Cheirogaleidae,Cheirogaleinae,,Microcebus,,,sp. nov. #1,,not yet described,,Microcebus sp. nov. #1
1072,,1102,0,0,0,0,Cercopithecoidea,Anthropoidea/Haplorrhini,Catarrhini,Cercopithecidae,Colobinae,,Presbytis,,,femoralis,margae,Hooijer,1948,Presbytis femoralis margae
1073,,0,0,1,0,1,Cercopithecoidea,Anthropoidea/Haplorrhini,Catarrhini,Cercopithecidae,Colobinae,,Presbytis,,,chrysomelas,,Muller,1838,Presbytis chrysomelas
1074,,1073,0,0,0,1,Cercopithecoidea,Anthropoidea/Haplorrhini,Catarrhini,Cercopithecidae,Colobinae,,Presbytis,,,chrysomelas,chrysomelas,Müller,1838,Presbytis chrysomelas chrysomelas
1075,,1073,0,0,0,1,Cercopithecoidea,Anthropoidea/Haplorrhini,Catarrhini,Cercopithecidae,Colobinae,,Presbytis,,,chrysomelas,cruciger,Thomas,1892,Presbytis chrysomelas cruciger
1076,,0,0,1,1,0,Cercopithecoidea,Anthropoidea/Haplorrhini,Catarrhini,Cercopithecidae,Colobinae,,Presbytis,,,chrysomelas,sp. nov.,not yet described CG,,Presbytis chrysomelas sp. nov.
1077,,0,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Callitrichidae,Callitrichinae,,Saguinus,,,melanoleucus,,Miranda Ribeiro,1912,Saguinus melanoleucus 
1078,,0,0,1,0,0,Cercopithecoidea,Anthropoidea/Haplorrhini,Catarrhini,Cercopithecidae,Colobinae,,Procolobus,,,rufomitratus,,Peters,1879,Procolobus rufomitratus
1079,,0,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Atelidae,Atelinae,,Alouatta,,A. seniculus group,puruensis,,Lönnberg,1941,Alouatta puruensis 
1080,,0,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Pitheciidae,Pitheciinae,,Pithecia,,,hirsuta,,Spix,1823,Pithecia hirsuta
1081,,0,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Pitheciidae,Pitheciinae,,Pithecia,,,inusta,,Spix,1823,Pithecia inusta
1082,,0,1,0,1,0,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Pitheciidae,Pitheciinae,,Pithecia,,,monachus,Surppressed,É. Geoffroy St.-Hilaire,1812,Pithecia monachus Surppressed
1083,,0,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Pitheciidae,Pitheciinae,,Pithecia,,,mittermeieri,,Marsh LK,2014,Pithecia mittermeieri
1084,,0,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Pitheciidae,Pitheciinae,,Pithecia,,,pissinattii,,Marsh LK,2014,Pithecia pissinattii
1085,,0,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Pitheciidae,Pitheciinae,,Pithecia,,,cazuzai,,Marsh LK,2014,Pithecia cazuzai
